trip_id,duration,start_date,start_id,end_date,weekday,end_id,bike_id,type
913125,394,8/31/2015 18:08,69,8/31/2015 18:14,1,57,456,Subscriber
913124,794,8/31/2015 18:08,74,8/31/2015 18:21,1,70,193,Subscriber
913123,702,8/31/2015 18:08,70,8/31/2015 18:19,1,77,611,Subscriber
913122,419,8/31/2015 18:07,65,8/31/2015 18:14,1,61,418,Subscriber
913121,720,8/31/2015 18:06,75,8/31/2015 18:18,1,60,390,Subscriber
913120,872,8/31/2015 18:06,74,8/31/2015 18:20,1,59,448,Subscriber
913118,253,8/31/2015 18:05,5,8/31/2015 18:10,1,2,660,Subscriber
913117,570,8/31/2015 18:05,61,8/31/2015 18:14,1,50,291,Subscriber
913116,469,8/31/2015 18:04,67,8/31/2015 18:12,1,39,300,Subscriber
913115,500,8/31/2015 18:04,67,8/31/2015 18:12,1,69,625,Subscriber
913114,264,8/31/2015 18:04,28,8/31/2015 18:08,1,27,197,Subscriber
913113,153,8/31/2015 18:03,31,8/31/2015 18:06,1,29,10,Subscriber
913112,290,8/31/2015 18:03,2,8/31/2015 18:08,1,4,205,Subscriber
913111,296,8/31/2015 18:03,4,8/31/2015 18:08,1,2,14,Subscriber
913110,618,8/31/2015 18:03,51,8/31/2015 18:13,1,70,422,Subscriber
913108,293,8/31/2015 18:03,76,8/31/2015 18:08,1,55,340,Subscriber
913107,283,8/31/2015 18:03,62,8/31/2015 18:07,1,77,375,Subscriber
913104,325,8/31/2015 18:02,68,8/31/2015 18:08,1,70,575,Subscriber
913103,1116,8/31/2015 18:02,45,8/31/2015 18:21,1,65,370,Subscriber
913102,772,8/31/2015 18:02,71,8/31/2015 18:15,1,66,96,Subscriber
913101,357,8/31/2015 18:01,82,8/31/2015 18:07,1,55,379,Subscriber
913100,263,8/31/2015 18:01,62,8/31/2015 18:06,1,61,621,Subscriber
913099,250,8/31/2015 18:01,82,8/31/2015 18:05,1,56,440,Subscriber
913097,570,8/31/2015 18:00,61,8/31/2015 18:10,1,42,502,Subscriber
913096,227,8/31/2015 18:00,37,8/31/2015 18:04,1,34,689,Subscriber
913095,309,8/31/2015 18:00,60,8/31/2015 18:05,1,74,448,Subscriber
913094,579,8/31/2015 18:00,55,8/31/2015 18:09,1,70,417,Customer
913093,701,8/31/2015 18:00,77,8/31/2015 18:11,1,59,599,Subscriber
913092,278,8/31/2015 18:00,62,8/31/2015 18:04,1,55,518,Subscriber
913090,860,8/31/2015 18:00,74,8/31/2015 18:14,1,59,498,Subscriber
913089,563,8/31/2015 17:59,39,8/31/2015 18:09,1,69,137,Subscriber
913086,485,8/31/2015 17:59,57,8/31/2015 18:07,1,69,462,Subscriber
913085,207,8/31/2015 17:59,65,8/31/2015 18:02,1,69,456,Subscriber
913084,547,8/31/2015 17:58,63,8/31/2015 18:08,1,60,279,Customer
913083,979,8/31/2015 17:58,74,8/31/2015 18:15,1,65,236,Subscriber
913082,600,8/31/2015 17:58,60,8/31/2015 18:08,1,54,632,Subscriber
913079,889,8/31/2015 17:57,82,8/31/2015 18:12,1,70,542,Subscriber
913078,926,8/31/2015 17:57,70,8/31/2015 18:12,1,60,557,Subscriber
913076,776,8/31/2015 17:57,82,8/31/2015 18:09,1,61,505,Subscriber
